,RateRatio,CPIRatio,PMIRatio,UnemployRatio,US-M2,Gold/Euro,US International Trade,NASDAQ,Crude Oil Future,Baltic Dry Index,Copper Future,FTSE EUROTOP 100 index,prediction,actual,,,
26,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.838157151,0.728453725,-1.575392562,-0.706505773,-2.018725081,-0.548402779,0.157906776,1.0617537,1.055,,1.087563359,
27,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.864268149,0.728453725,-1.634424873,-0.796369496,-2.166480176,-0.19374462,0.182656302,1.0650029,1.0598,,1.09326775,
28,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.8645572,0.728453725,-1.644887345,-0.658453644,-2.249722483,-0.106107083,0.275555991,1.066149,1.0605,,1.095042139,
29,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.852706083,0.728453725,-1.435927656,-0.647220679,-2.307992098,-0.436117185,0.342806104,1.0638096,1.065,,1.090335833,
30,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.851838929,0.728453725,-1.387357817,-0.513049149,-2.316316329,-0.295075523,0.331838786,1.0649955,1.0695,,1.089704952,
31,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.816478279,0.728453725,-1.235220916,-0.506808613,-2.304870512,-0.605914913,0.350471803,1.0628554,1.0672,,1.084981721,
32,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.916490143,0.728453725,-1.313463115,-0.477478092,-2.281978877,-0.447071877,0.360332379,1.0639012,1.0691,,1.087481604,
33,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.919284309,0.728453725,-1.361887023,-0.4100803,-2.226830849,-0.510061357,0.33004062,1.0628922,1.0739,,1.085905261,
34,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,1.089728421,0.728453725,-1.484915456,-0.436290553,-2.241398252,-0.673012403,0.128398298,1.0591311,1.0724,,1.079095071,
35,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.973818717,0.728453725,-1.43429336,-0.539883455,-2.251803541,-0.459395905,0.310511004,1.0629731,1.0679,,1.08784233,
36,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,1.136169383,0.728453725,-1.348617841,-0.514297256,-2.240357724,-0.629193634,0.174628013,1.0602643,1.074,,1.08027563,
37,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,1.085778048,0.728453725,-1.204622668,-0.597296389,-2.242438781,-0.505953347,0.169226934,1.0619817,1.0713,,1.081247334,
38,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,1.034037806,0.728453725,-1.364960803,-0.786384638,-2.235155079,-0.629193634,0.1273139,1.0604427,1.0727,,1.082526196,
39,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.915333937,0.728453725,-1.280302557,-0.831316499,-2.221628204,-0.57578951,0.303841284,1.063199,1.0734,,1.088295024,
40,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,1.150043861,0.728453725,-1.142968541,-0.675927146,-2.201858156,-0.490890645,0.357414616,1.0643635,1.0797,,1.087041625,
41,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,1.356137674,0.728453725,-1.415349833,-0.642852303,-2.172723349,-0.444333204,0.357941686,1.0633297,1.0914,,1.089528564,
42,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.363171263,0.915518944,-1.579536038,-0.489335111,-2.159196474,-0.122539121,0.23416392,1.0603964,1.0992,,1.088643762,
43,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.353536209,0.915518944,-1.71465628,-0.549868313,-2.160237003,-0.191005947,0.231748339,1.0593755,1.0864,,1.089823343,
44,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.359220891,0.915518944,-1.553213738,-0.438786767,-2.164399118,-0.134863149,0.279178658,1.0606854,1.0848,,1.088914056,
45,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.330412079,0.915518944,-1.630639852,-0.355787635,-2.163358589,-0.017100209,0.280054022,1.06149,1.0871,,1.090344303,
46,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.439673595,0.915518944,-1.771652628,-0.409456247,-2.13630484,-0.091044381,0.295593094,1.0604289,1.0893,,1.09171914,
47,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.412310041,0.915518944,-1.756836284,-0.410704354,-2.11757532,-0.075981679,0.261804251,1.0604007,1.0919,,1.091010005,
48,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.371553761,0.915518944,-1.735483463,-0.317720363,-2.097805272,-0.052702958,0.293080615,1.0609722,1.0889,,1.091171158,
49,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.365098274,0.915518944,-1.89415259,-0.337066026,-2.073873109,-0.06776566,0.20793188,1.0594451,1.0872,,1.090576087,
50,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.456823992,0.915518944,-2.098290856,-0.398223281,-2.034333013,-0.128016467,0.14472136,1.0576911,1.0859,,1.090748845,
51,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.265953565,0.915518944,-2.024089414,-0.45126784,-1.958374408,-0.122539121,0.30793603,1.0601392,1.0831,,1.096358219,
52,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.310756568,0.915518944,-1.926258329,-0.407584086,-1.909469552,-0.159511207,0.275547752,1.059571,1.0796,,1.093635526,
53,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.348140579,0.915518944,-1.93756168,-0.427553802,-1.883456331,-0.180051255,0.206191413,1.0586095,1.0789,,1.091787308,
54,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.089246668,0.915518944,-1.992854307,-0.519289685,-1.852240466,-0.238932725,0.133269578,1.0583404,1.0832,,1.091638281,
55,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.071325467,0.915518944,-2.042041878,-0.580446941,-1.782525034,-0.325200926,-0.057862948,1.0558945,1.085,,1.08682469,
56,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.080960521,0.915518944,-2.175959953,-0.723355221,-1.727377006,-0.564834818,-0.136192768,1.0528123,1.0759,,1.084934354,
