RateRatio,CPIRatio,GDPRatio,PMIRatio,UnemployRatio,US-M2,Gold/Euro,US International Trade,NASDAQ,US TREASURY EURODOLLAR SPREAD,Crude Oil Future,Baltic Dry Index,Copper Future,Housing Starts,FTSE EUROTOP 100 index,Date,lagSpot
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,0.361221961,-0.839043331,-0.069092804,0.367932656,0.315070015,-0.905359222,0.689477437,1.400064886,0.709613197,2022/2/17,1.1325
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,0.102520751,-0.839043331,0.219495437,0.105517367,0.433640204,-0.894953934,0.73192687,1.400064886,0.813422002,2022/2/16,1.1362
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,-0.009534931,-0.839043331,0.230590516,-0.009385798,0.334415678,-0.820035857,0.707278812,1.400064886,0.790649854,2022/2/15,1.1375
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,0.213131175,-0.839043331,-0.016528962,0.213474245,0.545969857,-0.803387396,0.641550659,1.400064886,0.525877485,2022/2/14,1.136
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,0.058392202,-0.839043331,-0.016362486,0.057858119,0.398693201,-0.810671098,0.634703976,1.400064886,0.844664287,2022/2/11,1.1309
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,-0.33365816,-0.839043331,0.263095089,-0.33180929,0.197747933,-0.849170665,1.052351616,1.400064886,1.007205145,2022/2/10,1.1353
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,-0.274209874,-0.839043331,0.478969543,-0.273441183,0.184018753,-1.087451769,0.896247252,1.400064886,1.038605091,2022/2/9,1.1428
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,-0.324986611,-0.839043331,0.269338993,-0.320714526,0.165297144,-1.303881768,0.510094353,1.400064886,0.782686854,2022/2/8,1.1426
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,-0.407366325,-0.839043331,0.14268493,-0.402622827,0.287611656,-1.388164604,0.515571699,1.400064886,0.821901998,2022/2/7,1.1416
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,-0.520770915,-0.839043331,0.2010145,-0.51810485,0.349392965,-1.387124075,0.575822506,1.400064886,0.696201607,2022/2/4,1.1443
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,-0.535030796,-0.839043331,0.045739354,-0.534505805,0.222086025,-1.385043017,0.529265064,1.400064886,0.848879598,2022/2/3,1.145
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,-0.333369108,-0.839043331,0.427379054,-0.333545861,0.096651245,-1.39128619,0.596362554,1.400064886,0.932651082,2022/2/2,1.1442
-0.992339504,1.316596388,-1.293062294,-0.225778117,-0.49472755,0.600416015,-0.338475687,-0.839043331,0.376696743,-0.337211957,0.092906924,-1.369435085,0.426564825,1.400064886,0.849575626,2022/2/1,1.1307
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.32132529,-0.857542212,0.301520532,-0.321486335,0.089786656,-1.392326719,0.122572117,0.390374256,0.611310673,2022/1/31,1.1273
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.249351434,-0.857542212,-0.030942223,-0.246620797,0.006787523,-1.430826286,0.081492021,0.390374256,0.420743779,2022/1/28,1.1237
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.196454986,-0.857542212,-0.32690782,-0.196839073,-0.006317603,-1.513028065,0.382746056,0.390374256,0.591500922,2022/1/27,1.1147
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.135465092,-0.857542212,-0.192780765,-0.135866109,0.039862365,-1.519271238,0.63333464,0.390374256,0.581188129,2022/1/26,1.1147
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,0.022068047,-0.857542212,-0.194781308,0.022161922,-0.06934702,-1.470366382,0.464906248,0.390374256,0.409325436,2022/1/25,1.1241
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.055783192,-0.857542212,0.028957888,-0.052800093,-0.2122553,-1.420420998,0.355359326,0.390374256,0.316433659,2022/1/24,1.1303
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.157529366,-0.857542212,-0.032111803,-0.156897922,-0.098053486,-1.395448306,0.655244024,0.390374256,0.887408655,2022/1/21,1.1327
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.068212412,-0.857542212,0.240694533,-0.066499714,0.011779952,-1.334057104,0.830519099,0.390374256,1.088837274,2022/1/20,1.1344
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.102513206,-0.857542212,0.372624816,-0.102871245,0.015524274,-1.234166336,0.518310372,0.390374256,1.051138268,2022/1/19,1.1314
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.306776358,-0.857542212,0.49067527,-0.306146618,-0.079955931,-1.157167201,0.281415154,0.390374256,0.999502412,2022/1/18,1.1344
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.396864116,-0.857542212,0.764726987,-0.393264635,-0.180428565,-1.032303741,0.378638047,0.390374256,1.112970795,2022/1/14,1.1329
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.403705005,-0.857542212,0.703137325,-0.403877018,-0.286517682,-0.918886097,0.714125495,0.390374256,1.268452476,2022/1/13,1.1418
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.361407116,-0.857542212,0.973451484,-0.357568438,-0.254066893,-0.758644656,0.796285686,0.390374256,1.248993061,2022/1/12,1.1456
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.293287282,-0.857542212,0.948697599,-0.290710425,-0.342682508,-0.62961908,0.403286104,0.390374256,1.028061872,2022/1/11,1.1446
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.410642244,-0.857542212,0.799492089,-0.408025495,-0.529274543,-0.498512446,0.195146953,0.390374256,0.846558491,2022/1/10,1.1368
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.502464312,-0.857542212,0.794585658,-0.502282751,-0.48746295,-0.4860261,0.355359326,0.390374256,1.082343071,2022/1/7,1.1328
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.450916771,-0.857542212,0.897278544,-0.456842457,-0.452515947,-0.478742398,0.204732308,0.390374256,1.012007753,2022/1/6,1.1363
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.321036238,-0.857542212,0.910957185,-0.321293383,-0.552988581,-0.4860261,0.359467335,0.390374256,1.221016256,2022/1/5,1.1295
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.243474051,-0.857542212,1.281131309,-0.247103178,-0.606657193,-0.490188215,0.527895728,0.390374256,1.168524302,2022/1/4,1.1315
-0.825194655,1.379317153,-1.293062294,1.059771935,-0.49472755,0.580821308,-0.369307861,-0.857542212,1.429954278,-0.373004631,-0.663446073,-0.49056716,0.386854066,0.390374256,1.031247968,2022/1/3,1.1289
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.239138276,-0.047744239,1.296895502,-0.236394319,-0.717738739,-0.49056716,0.497770324,1.318198078,1.04740513,2021/12/31,1.1298
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.293479983,-0.047744239,1.365322714,-0.290806901,-0.606657193,-0.49056716,0.304693874,1.318198078,1.023563211,2021/12/30,1.1372
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.416134225,-0.047744239,1.382786378,-0.417287211,-0.633491499,-0.49056716,0.352620653,1.318198078,1.022903398,2021/12/29,1.1327
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.349845051,-0.047744239,1.393771654,-0.347245483,-0.669686609,-0.49056716,0.401916768,1.318198078,1.015181133,2021/12/28,1.1352
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.321710692,-0.047744239,1.457201759,-0.321968716,-0.695272808,-0.49056716,0.525157055,1.318198078,0.952164116,2021/12/27,1.1313
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.352542866,-0.047744239,1.302848251,-0.350043293,-0.806354354,-0.558863119,0.311540557,1.318198078,0.887594889,2021/12/23,1.1329
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.393010095,-0.047744239,1.209705407,-0.393361111,-0.870631878,-0.54845783,0.31838724,1.318198078,0.742516157,2021/12/22,1.1332
